route_id,service_id,trip_id,shape_id
1423,1,1423_17_30,
1423,1,1423_17_40,
1423,1,1423_17_50,
1423,1,1423_18_0,
1423,1,1423_18_10,
1423,1,1423_18_20,
1423,1,1423_18_30,
1423,1,1423_18_40,
1423,1,1423_18_50,
1423,1,1423_19_0,
1423,1,1423_19_10,
1423,1,1423_19_20,
1423,1,1423_19_30,
1423,1,1423_20_10,
1466,1,1466_5_0,
1466,1,1466_5_10,
1466,1,1466_5_20,
1466,1,1466_5_30,
1466,1,1466_5_40,
1466,1,1466_5_50,
1466,1,1466_6_0,
1466,1,1466_6_10,
1466,1,1466_6_20,
1466,1,1466_6_30,
1466,1,1466_6_40,
1466,1,1466_6_50,
1466,1,1466_7_0,
1466,1,1466_7_10,
1466,1,1466_7_20,
1466,1,1466_7_30,
1466,1,1466_7_40,
1466,1,1466_7_50,
1466,1,1466_8_0,
1466,1,1466_8_10,
1466,1,1466_8_20,
1466,1,1466_8_30,
1466,1,1466_8_40,
1466,1,1466_8_50,
1466,1,1466_9_0,
1466,1,1466_9_20,
1544,1,1544_8_19,
1544,1,1544_16_55,
1544,1,1544_17_19,
1544,1,1544_5_19,
1544,1,1544_7_37,
1544,1,1544_16_19,
1544,1,1544_6_7,
1544,1,1544_7_31,
1544,1,1544_7_55,
1544,1,1544_9_7,
1544,1,1544_13_7,
1544,1,1544_9_19,
1544,1,1544_6_55,
1544,1,1544_14_43,
1544,1,1544_15_43,
1544,1,1544_16_7,
1544,1,1544_8_43,
1544,1,1544_16_31,
1544,1,1544_9_31,
1544,1,1544_15_25,
1544,1,1544_8_31,
1544,1,1544_17_7,
1544,1,1544_13_55,
1544,1,1544_15_19,
